,Datum,Umsatz_C_Ausland,Umsatz_A_Ausland,Umsatz_B_Ausland,Umsatz_gesamt_Ausland
0,Jan,15494.83,1897.14,1478.0,18869.97
1,Feb,13204.74,1450.65,1349.0,16004.4
2,Mar,15034.96,1752.35,1369.0,18156.3
3,Apr,14714.37,1423.8,1375.0,17513.17
4,May,14771.97,1434.76,1470.0,17676.73
5,Jun,16086.88,1662.89,1462.0,19211.77
6,Jul,15029.18,2157.21,1781.0,18967.38
7,Aug,14349.5,1725.48,1745.0,17819.99
8,Sep,16560.05,1210.21,1515.0,19285.26
9,Oct,15671.86,1522.83,1547.0,18741.68
10,Nov,16808.34,1529.05,1581.0,19918.39
11,Dec,13406.31,1597.83,1722.0,16726.14
